file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\models\playback\ui\OptionCallback.java,com.liskovsoft.smartyoutubetv2.common.app.models.playback.ui.OptionCallback,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\mod\surface\SurfaceViewWrapper.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.mod.surface.SurfaceViewWrapper,class,7,8,1,7,5,1,0,5,0,0.44444445,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,1,0,0,39,1,0,2,0,0,0,0,3,0,3,2,1,0,0,32,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\exoplayer\versions\selector\BlacklistMediaCodecSelector.java,com.liskovsoft.smartyoutubetv2.common.exoplayer.versions.selector.BlacklistMediaCodecSelector,class,4,6,2,4,7,1,0,8,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,4,0,1,0,3,4,0,0,28,2,2,1,0,0,18,0,8,2,7,3,0,0,0,31,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\mod\leanback\misc\LeanbackListPreferenceDialogFragment.java,com.liskovsoft.smartyoutubetv2.tv.ui.mod.leanback.misc.LeanbackListPreferenceDialogFragment$AdapterSingle,innerclass,8,8,0,8,8,1,0,16,0,0.4,0.3,0.3,5,0,5,0,0,0,5,0,0,0,3,0,0,2,1,0,2,0,0,39,3,0,1,0,0,0,1,10,0,9,2,0,0,0,40,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\presenters\settings\AboutSettingsPresenter.java,com.liskovsoft.smartyoutubetv2.common.app.presenters.settings.AboutSettingsPresenter,class,8,9,1,8,17,2,0,45,30,0.6666667,0.0,0.0,9,1,3,6,0,0,3,0,0,0,1,0,0,1,0,0,1,0,14,78,2,3,2,0,0,3,2,15,0,23,1,0,0,8,45,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\views\AppUpdateView.java,com.liskovsoft.smartyoutubetv2.common.app.views.AppUpdateView,interface,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\actions\VideoZoomAction.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.actions.VideoZoomAction,class,3,4,1,3,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\models\data\Playlist.java,com.liskovsoft.smartyoutubetv2.common.app.models.data.Playlist$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\prefs\MainUIData.java,com.liskovsoft.smartyoutubetv2.common.prefs.MainUIData$ColorScheme,innerclass,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,4,0,0,0,4,0,0,12,0,0,0,0,0,3,0,4,0,4,0,0,0,0,11,9,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\widgets\marqueetextview\MarqueeTextView.java,com.liskovsoft.smartyoutubetv2.tv.ui.widgets.marqueetextview.MarqueeTextView,class,6,8,2,6,17,2,0,6,39,0.79999995,0.035714287,0.035714287,10,0,7,2,1,0,8,0,0,0,2,0,0,2,0,0,0,0,0,58,3,0,3,0,0,4,5,7,1,5,3,0,0,0,54,1,0
