file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\DBConnection.java,servlets.DBConnection,class,0,8,8,0,5,1,0,3,0,0,0,0,2,1,1,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,2,22,1,0,0,2,0,0,0,1,0,1,1,0,0,0,11,1,0
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,class,5,5,0,5,3,2,0,11,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,1,1,0,11,2,7,1,7,2,0,0,0,33,1,0
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,class,6,6,0,6,3,2,0,12,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,1,0,14,2,9,1,9,2,0,0,0,48,1,0
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,class,5,5,0,5,3,2,0,12,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,1,0,13,2,8,2,8,2,0,0,0,50,1,0
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\constants\IOnlineBookStoreConstants.java,constants.IOnlineBookStoreConstants,interface,0,0,0,0,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,17,1,0
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AddBookServlet.java,servlets.AddBookServlet,class,5,5,0,5,3,2,0,13,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,1,1,0,6,6,11,1,11,2,0,0,0,39,1,0
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\ViewBookServlet.java,servlets.ViewBookServlet,class,5,5,0,5,3,2,0,12,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31,0,1,0,1,0,26,5,10,8,10,2,0,0,0,39,1,0
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\sql\IBookConstants.java,sql.IBookConstants,interface,0,0,0,0,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,8,0,0,0,0,0,6,0,6,0,6,0,0,0,0,21,1,0
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\ReceiptServlet.java,servlets.ReceiptServlet,class,5,5,0,5,6,2,0,20,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,58,0,1,0,2,0,37,5,22,16,19,4,0,0,0,60,1,0
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserRegisterServlet.java,servlets.UserRegisterServlet,class,5,5,0,5,3,2,0,12,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,1,1,0,6,10,13,1,13,2,0,0,0,37,1,0
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\BuyBooksServlet.java,servlets.BuyBooksServlet,class,5,5,0,5,3,2,0,13,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,38,0,1,0,1,0,38,7,14,14,13,2,0,0,0,57,1,0
